,1,2,3,4,5,6,7,8,9,10,11,12
1,83.1,82.3,82.8,83.8,84.5,84.7,85.1,,83.8,81.7,80.4,78.9
2,83.2,82.0,83.1,84.7,85.1,85.0,84.5,82.7,83.3,81.7,80.6,79.2
3,82.9,82.3,83.2,84.7,84.9,84.6,84.5,82.3,,81.4,80.5,79.7
4,82.6,83.4,84.2,84.7,85.2,84.5,83.4,82.2,, ,80.8,79.8
5,82.2,83.7,84.2,84.3,85.2,84.6,84.1,82.9,,,80.6,78.7
6,82.2,82.9,84.4,83.8,85.2,84.6,83.9,82.7,,82.2,80.5,79.0
7,83.1,82.9,84.1,84.2,84.5,84.4,83.6,82.9,,81.6,80.5,78.9
8,83.1,82.4,83.8,84.7,85.9,84.3,83.4,82.5,,81.4,80.5,78.3
9,82.1,82.6,84.5,84.8,85.6,83.9,,82.6,,81.3,81.0,79.3
10,82.9,82.1,84.0,84.4,84.8,84.0,,82.8,,80.8,80.9,79.6
11,82.3,83.0,83.9,84.3,84.7,84.3,,82.3,82.2,80.9,80.5,78.7
12,82.0,83.6,84.3,83.6,84.8,84.3,,82.5,82.5,81.3,80.7,78.8
13,82.7,83.5,84.0,83.7,84.9,84.3,,83.4,82.4,80.9,80.8,78.6
14,83.5,82.8,83.8,84.1,85.3,84.7,,83.6,82.5,80.6,80.4,78.5
15,83.0,82.6,84.1,84.2,84.7,84.0,,83.6,82.2,80.9,80.1,78.4
16,82.9,83.2,83.8,84.6,84.9,84.1,,82.2,83.2,80.9,80.6,78.0
17,82.7,83.1,83.9,84.9,84.1,84.6,,82.8,82.6,81.1,80.1,79.0
18,82.7,83.9,84.3,84.6,84.2,85.5,84.5,83.0,81.8,80.9,80.7,78.6
19,83.3,84.2,84.5,84.0,84.8,84.7,83.1,83.7,82.2,80.8,81.0,78.2
20,82.7,83.2,83.8,84.2,85.5,84.4,82.8,84.4,82.0,80.8,80.7,78.2
21,82.8,83.6,83.7,84.0,85.5,84.6,83.2,83.4,82.4,80.5,80.1,78.1
22,83.7,83.2,83.4,84.8,85.5,84.7,83.1,83.2,82.1,80.7,80.2,78.0
23,82.8,83.7,83.4,84.5,85.6,84.1,,82.6,83.4,80.3,80.0,78.1
24,82.0,83.1,83.9,85.0,84.5,84.5,,82.6,82.3,80.8,79.7,78.3
25,82.1,83.2,84.9,84.4,84.8,84.8,,83.3,82.3,80.7,80.3,78.9
26,82.8,84.1,84.5,84.4,84.8,84.6,,83.7,82.5,80.4,80.2,79.3
27,82.8,83.4,84.8,84.0,84.4,84.3,,83.2,82.4,80.3,79.8,78.5
28,82.9,83.0,84.7,84.2,85.7,83.9,,82.9,82.3,80.2,79.4,78.9
29,82.8,,84.3,84.8,85.1,84.3,,82.7,82.0,80.2,79.4,79.5
30,82.8,,83.8,84.5,84.4,84.4,,83.7,81.6,80.0,79.4,79.1
31,82.8,,83.8,,84.3,,,,,80.7,,79.4
