92	41	27	93	94	49
54	13	56	56	79	78
43	52	26	67	73	46
17	9	16	94	76	90
84	27	18	41	24	84
93	71	53	73	4	42
51	40	39	87	69	32
48	17	49	89	62	67
9	60	71	93	11	46
53	43	78	99	58	7
83	93	24	14	15	50
74	37	46	49	33	33
18	72	66	13	46	71
51	59	3	76	12	83
56	28	84	2	8	17
2	64	52	17	65	2
79	66	84	72	73	12
73	40	96	66	29	31
46	38	15	86	55	29
5	94	59	10	43	5
18	20	41	6	11	62
79	35	7	50	100	57
79	45	23	30	97	18
50	72	91	19	58	100
72	10	9	4	12	3
87	61	8	24	41	6
19	49	25	67	58	39
43	8	80	34	21	18
47	84	74	35	58	71
94	20	93	71	99	66
