,1,2,3,4,5,6,7,8,9,10,11,12
1,68.8,67.6,67.1,67.3,66.5,68.2,69.0,68.6,68.5,69.2,70.0,69.5
2,69.2,67.6,67.9,66.6,66.5,68.0,68.7,67.8,68.5,68.6,69.4,69.8
3,,67.1,68.1,66.8,67.5,68.5,69.2,68.7,68.2,68.9,69.7,70.1
4,68.2,68.2,68.1,66.5,68.0,68.1,69.5,69.0,68.5,68.9,70.1,70.0
5,67.9,68.6,67.6,66.4,68.0,68.1,68.0,69.0,68.0,68.9,70.1,69.5
6,68.3,68.0,67.8,66.2,66.9,67.8,68.6,69.4,68.2,68.9,69.6,69.7
7,68.6,67.3,67.5,66.7,66.9,68.2,68.9,68.9,68.6,68.9,69.3,70.1
8,68.0,67.0,67.5,66.7,66.4,67.8,68.9,68.4,68.6,69.4,69.4,70.1
9,68.1,67.5,68.2,66.5,66.0,68.1,68.9,68.4,68.6,68.9,70.0,69.8
10,68.3,67.7,68.2,66.8,67.3,67.9,68.6,68.7,68.8,68.9,70.1,69.8
11,67.7,68.3,68.9,67.4,66.9,68.2,68.4,68.7,68.6,69.1,70.4,69.8
12,67.7,67.7,67.6,66.6,66.9,68.2,68.8,68.4,69.2,69.1,70.0,70.2
13,68.3,67.5,67.7,67.3,66.6,68.2,68.5,68.4,69.2,69.5,69.4,70.2
14,68.3,67.5,67.7,67.3,66.6,69.2,69.3,68.4,69.4,69.5,69.4,70.5
15,68.3,67.2,68.0,67.1,66.6,68.7,68.8,68.6,69.8,70.0,69.8,70.0
16,68.3,67.6,67.5,66.6,67.1,68.7,68.8,69.2,69.2,69.2,69.8,69.8
17,67.6,67.3,67.9,67.1,67.1,68.5,68.8,69.5,69.2,69.2,70.3,70.0
18,67.9,67.3,67.9,67.1,67.4,69.1,68.5,68.8,69.4,69.8,69.6,70.0
19,67.5,67.8,67.3,67.1,67.4,68.5,69.0,68.4,69.6,69.8,69.5,70.0
20,68.5,67.3,67.3,67.1,68.4,68.3,69.0,68.1,70.0,69.0,69.7,70.0
21,68.0,67.3,68.6,67.1,68.4,68.8,69.0,68.6,70.0,69.0,69.7,70.7
22,67.5,66.8,68.1,67.1,67.9,67.9,68.7,68.6,69.2,69.0,69.7,71.4
23,67.5,67.1,68.1,67.1,67.5,67.9,68.7,68.6,68.8,69.6,70.0,70.8
24,67.6,67.8,67.8,66.6,67.8,68.2,68.7,69.7,69.3,70.0,69.6,70.9
25,67.9,67.8,67.1,67,67.8,68.2,68.5,69.2,69.3,69.1,69.6,70.2
26,67.4,68.2,67.7,67.2,67.4,68.8,69.0,68.6,69.3,69.9,69.6,70.7
27,67.3,67.7,67.1,67.6,68.0,68.8,69.0,67.6,68.9,69.9,70.0,70.7
28,67.6,67.7,67.2,67.0,67.7,68.1,68.6,67.4,69.3,69.1,70.0,71.4
29,67.2,67.1,68.0,67.0,67.7,68.3,68.2,68.1,69.8,69.6,70.1,71.4
30,66.9,,68.0,67.0,67.7,68.3,68.6,68.4,69.2,69.6,69.3,70.8
31,67.3,,67.3,,68.2,,68.6,68.2,,69.6,,70.5
