,1,2,3,4,5,6,7,8,9,10,11,12
1,.0,,,,,85.0,,83.5,81.7,80.5,79.9,80.6
2,,,,,,84.1,84.4,83.6,82.4,80.5,80.1,80.4
3,,,,,,85.0,84.4,83.4,81.9,79.7,79.9,81.2
4,,,,,,84.2,83.9,83.3,81.7,79.4,79.6,81.4
5,,,,,,84.8,83.4,83.1,81.5,79.0,79.1,80.8
6,,,,,,84.6,83.5,83.3,81.2,79.5,79.0,81.9
7,,,,,,85.2,83.4,82.8,81.1,79.6,79.1,81.6
8,,,,,,85.1,,82.8,80.8,80.0,79.6,81.7
9,,,,,,85.0,83.5,82.9,81.0,80.1,79.5,81.1
10,,,,,,,83.8,82.9,81.1,80.0,79.1,81.1
11,,,,,,85.6,84.1,82.9,81.2,,79.1,
12,,,,,,84.9,83.8,82.8,81.5,,79.5,
13,,,,,,84.7,83.1,82.7,80.8,,80.5,
14,,,,,,84.3,83.7,82.8,81.0,,80.4,81.6
15,,,,,,84.1,83.6,82.7,80.5,79.4,80.2,82.3
16,,,,,,84.0,84.8,82.9,,79.3,80.1,81.7
17,,,,,,83.9,83.3,,,79.2,80.1,81.9
18,,,,,,84.4,83.2,,80.6,79.8,80.4,82.2
19,,,,,,84.3,83.7,,80.1,79.3,80.7,81.4
20,,,,,,84.3,83.3,82.8,80.1,79.0,81.4,81.7
21,,,,,85.1,84.3,83.5,82.8,80.4,78.9,80.4,81.6
22,,,,,84.9,83.9,82.8,82.8,81.0,79.6,80.3,81.7
23,,,,,84.8,83.9,83.0,82.7,80.5,80.3,80.4,81.5
24,,,,,85.1,83.8,82.9,81.8,80.7,79.4,80.2,82.3
25,,,,,85.2,83.8,,82.3,80.7,79.8,80.0,82.8
26,,,,,84.3,84.2,83.4,,80.5,79.8,80.7,82.9
27,,,,,84.3,84.5,83.3,,80.5,79.5,81.3,82.6
28,,,,,84.5,84.3,83.5,81.7,80.7,79.4,80.6,82.9
29,,,,,85.6,83.7,84.2,82.1,80.5,79.9,80.3,82.8
30,,,,,84.7,83.7,83.8,81.8,80.3,80.4,80.2,82.5
31,,,,,84.7,,83.9,81.8,,80.2,,83.4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,0,0
