C	79	1
B	28	2
A	79	3
C	42	4
B	80	5
C	49	6
C	32	7
D	9	8
E	39	9
D	45	10
E	36	11
A	5	12
E	98	13
B	81	14
C	14	15
C	86	16
A	10	17
C	38	18
B	29	19
C	43	20
C	64	21
E	100	22
B	77	23
A	31	24
C	65	25
B	65	26
D	12	27
B	77	28
E	45	29
E	99	30
C	43	31
D	89	32
A	85	33
E	88	34
E	62	35
A	98	36
D	57	37
B	1	38
B	71	39
B	56	40
B	53	41
C	65	42
A	35	43
C	64	44
E	94	45
B	42	46
A	53	47
B	47	48
E	91	49
A	5	50
B	36	51
B	92	52
D	32	53
A	64	54
B	78	55
B	39	56
A	62	57
A	34	58
C	84	59
A	72	60
B	39	61
C	9	62
B	79	63
B	78	64
D	37	65
C	77	66
E	82	67
B	13	68
B	26	69
C	66	70
C	1	71
E	23	72
B	65	73
C	6	74
A	61	75
C	78	76
C	83	77
B	61	78
E	61	79
C	62	80
C	4	81
E	7	82
A	20	83
B	9	84
A	30	85
E	49	86
C	24	87
D	67	88
E	66	89
A	9	90
C	73	91
D	71	92
B	8	93
E	53	94
B	57	95
A	8	96
A	72	97
B	46	98
E	19	99
D	32	100
